ARTIST,TECHNIQUE,SIGNATURE,CONDITION,TOTAL DIMENSIONS,YEAR,Colorfulness Score,SVD Entropy,PRICE
218,-1.295299686,1,2,-0.157722777,-1.039765959,51.63255437,5.45320359,150
101,-0.122086567,2,2,-0.44266806,-0.58010734,161.6316565,6.1547629,270
274,-0.122086567,2,2,0.263422766,-0.626073202,117.4647804,6.908660972,360
354,3.397552791,0,2,-0.827075374,-0.488175617,164.6093022,6.986243771,343
354,-0.122086567,2,2,-0.145178016,0.431141621,91.02301082,5.859255475,150
354,-1.295299686,0,2,-0.502703701,0.15534645,60.09474734,5.627640616,180
354,3.397552791,2,2,-0.829446932,-0.58010734,194.0143474,5.972078893,150
274,-0.122086567,2,2,-0.873819543,-1.407492854,98.89144842,6.016598162,120
288,3.397552791,2,2,-0.632631581,-2.878400435,197.5016932,6.717290536,160
230,-0.122086567,2,2,-0.774805537,1.580288168,56.5908061,6.713012649,55
331,-0.122086567,1,2,-0.736573885,-0.672039064,54.72111782,6.741864592,126
230,-0.122086567,2,2,-0.774805537,1.580288168,50.16898651,6.299480189,55
179,2.224339672,2,2,-0.377256092,-1.177663545,186.2046349,4.909770642,120
331,-0.122086567,1,2,-0.736573885,-0.672039064,56.93939681,6.39059558,124
274,-0.122086567,1,0,1.387672287,1.534322306,162.267425,6.611776695,50
274,-0.122086567,1,0,1.387672287,1.534322306,180.7425011,6.052169636,80
274,-0.122086567,1,0,1.387672287,1.534322306,176.650522,6.437578702,71
274,-0.122086567,2,2,0.263422766,-0.442209755,166.3357679,7.309338228,370
55,-0.122086567,1,2,-0.844548434,-1.637322164,106.1881877,5.453008903,63
331,-0.122086567,1,0,-0.790337146,-0.901868374,133.387641,6.462019312,290
331,-0.122086567,1,2,-0.752702864,-0.672039064,142.8055378,6.264565408,140
274,-0.122086567,1,2,1.387672287,1.534322306,170.5639601,6.230563043,58
274,-0.122086567,1,0,1.387672287,1.534322306,180.9957883,4.284762499,58
354,-1.295299686,0,0,-0.502703701,0.017448864,144.3850054,6.863053945,340
101,-0.122086567,2,2,-0.632631581,-1.775219749,166.3918825,7.32547814,79
182,3.397552791,0,1,-1.241948537,-2.602605263,167.414068,6.864851012,420
366,3.397552791,0,2,-0.88487088,-2.740502849,58.68813273,7.548579497,470
370,-0.122086567,2,2,-0.736573885,-2.694536987,75.17792095,6.403487147,850
206,2.224339672,2,2,-0.697147494,-0.993800097,98.53314805,5.97211898,110
206,2.224339672,2,2,-0.697147494,-0.993800097,143.7698993,4.942668119,385
348,3.397552791,1,2,-1.309307929,-0.901868374,66.17199569,6.945999556,1650
274,-0.122086567,2,2,-1.176088543,1.212561273,161.2381672,7.17075854,100
370,-0.122086567,2,2,-0.736573885,-2.556639401,94.30060515,6.772153194,400
288,-0.122086567,2,2,-0.82677669,-2.326810092,132.230197,6.971787479,362
204,-0.122086567,2,2,-0.807959548,-1.177663545,62.06497147,6.729068067,327
103,-0.122086567,0,2,0.7652132,0.339209897,83.83541817,5.561707986,130
204,2.224339672,2,0,-0.862021494,-2.924366296,40.84690813,5.611616482,326
331,-0.122086567,2,2,-0.943263755,2.131878511,156.9652369,6.786071539,168
240,1.051126553,2,2,-0.905032103,-0.901868374,167.958727,5.11303006,120
331,-0.122086567,2,2,-0.805868755,2.131878511,137.5404326,7.068121637,201
335,-0.122086567,2,2,-0.317220451,-2.832434573,171.4698593,6.142645284,130
335,-0.122086567,2,2,-0.317220451,-2.832434573,194.3215127,6.273816152,85
